year,state,Average_Point-of-Sale_Price_per_Script
2012,AK,320
2012,AL,353
2012,AR,322
2012,AZ,312
2012,CA,302
2012,CO,325
2012,CT,358
2012,DC,306
2012,DE,426
2012,FL,344
2012,GA,326
2012,HI,314
2012,IA,341
2012,ID,347
2012,IL,349
2012,IN,370
2012,KS,352
2012,KY,352
2012,LA,312
2012,MA,374
2012,MD,403
2012,ME,419
2012,MI,377
2012,MN,320
2012,MO,353
2012,MS,331
2012,MT,343
2012,NC,334
2012,ND,314
2012,NE,326
2012,NH,381
2012,NJ,394
2012,NM,300
2012,NV,334
2012,NY,359
2012,OH,354
2012,OK,309
2012,OR,322
2012,PA,357
2012,RI,325
2012,SC,345
2012,SD,305
2012,TN,345
2012,TX,345
2012,UT,364
2012,VA,364
2012,VT,420
2012,WA,336
2012,WI,338
2012,WV,362
2012,WY,319
2013,AK,393
2013,AL,427
2013,AR,399
2013,AZ,377
2013,CA,290
2013,CO,386
2013,CT,435
2013,DC,352
2013,DE,504
2013,FL,412
2013,GA,396
2013,HI,333
2013,IA,411
2013,ID,403
2013,IL,426
2013,IN,437
2013,KS,411
2013,KY,419
2013,LA,372
2013,MA,432
2013,MD,461
2013,ME,530
2013,MI,448
2013,MN,380
2013,MO,417
2013,MS,393
2013,MT,413
2013,NC,405
2013,ND,390
2013,NE,394
2013,NH,446
2013,NJ,463
2013,NM,365
2013,NV,395
2013,NY,433
2013,OH,419
2013,OK,377
2013,OR,388
2013,PA,437
2013,RI,390
2013,SC,420
2013,SD,352
2013,TN,417
2013,TX,416
2013,UT,438
2013,VA,443
2013,VT,496
2013,WA,393
2013,WI,414
2013,WV,442
2013,WY,418
2014,AK,639
2014,AL,517
2014,AR,527
2014,AZ,497
2014,CA,340
2014,CO,506
2014,CT,548
2014,DC,461
2014,DE,641
2014,FL,525
2014,GA,509
2014,HI,499
2014,IA,559
2014,ID,529
2014,IL,560
2014,IN,559
2014,KS,532
2014,KY,549
2014,LA,484
2014,MA,541
2014,MD,591
2014,ME,687
2014,MI,583
2014,MN,497
2014,MO,547
2014,MS,498
2014,MT,516
2014,NC,515
2014,ND,477
2014,NE,514
2014,NH,568
2014,NJ,593
2014,NM,485
2014,NV,510
2014,NY,537
2014,OH,537
2014,OK,513
2014,OR,517
2014,PA,564
2014,RI,491
2014,SC,546
2014,SD,447
2014,TN,536
2014,TX,529
2014,UT,583
2014,VA,572
2014,VT,539
2014,WA,513
2014,WI,533
2014,WV,528
2014,WY,578
2015,AK,762
2015,AL,632
2015,AR,616
2015,AZ,614
2015,CA,383
2015,CO,606
2015,CT,673
2015,DC,550
2015,DE,741
2015,FL,626
2015,GA,594
2015,HI,510
2015,IA,661
2015,ID,627
2015,IL,673
2015,IN,669
2015,KS,638
2015,KY,663
2015,LA,579
2015,MA,645
2015,MD,716
2015,ME,757
2015,MI,685
2015,MN,614
2015,MO,664
2015,MS,587
2015,MT,581
2015,NC,608
2015,ND,594
2015,NE,575
2015,NH,735
2015,NJ,692
2015,NM,597
2015,NV,595
2015,NY,626
2015,OH,637
2015,OK,608
2015,OR,632
2015,PA,653
2015,RI,579
2015,SC,649
2015,SD,604
2015,TN,641
2015,TX,628
2015,UT,710
2015,VA,689
2015,VT,685
2015,WA,620
2015,WI,647
2015,WV,657
2015,WY,609
2016,AK,809
2016,AL,671
2016,AR,660
2016,AZ,659
2016,CA,407
2016,CO,653
2016,CT,750
2016,DC,607
2016,DE,818
2016,FL,676
2016,GA,648
2016,HI,573
2016,IA,684
2016,ID,663
2016,IL,720
2016,IN,718
2016,KS,702
2016,KY,721
2016,LA,617
2016,MA,725
2016,MD,767
2016,ME,865
2016,MI,724
2016,MN,678
2016,MO,705
2016,MS,626
2016,MT,681
2016,NC,667
2016,ND,660
2016,NE,642
2016,NH,750
2016,NJ,761
2016,NM,670
2016,NV,644
2016,NY,686
2016,OH,691
2016,OK,645
2016,OR,662
2016,PA,710
2016,RI,640
2016,SC,688
2016,SD,707
2016,TN,703
2016,TX,674
2016,UT,768
2016,VA,762
2016,VT,663
2016,WA,668
2016,WI,692
2016,WV,685
2016,WY,694
