Company	Year	Revenue($ in millions)	Percent Increase	R&D ($ in millions)	Percent Increase	Cost of Sales ($ in millions)	Percent Increase
Eli Lilly	2018 	24,555.70 	67.67 	5,307.10 	75.41 	6,430.00 	85.08
Eli Lilly 	2017 	22,871.30 	56.17 	5,357.30 	77.07 	6,150.80 	77.04
Eli Lilly 	2016 	21,222.10 	44.91 	5,243.90 	73.32 	5,710.10 	64.36
Eli Lilly 	2015 	19,958.70 	36.28 	4,796.40 	58.53 	5,054.50 	45.49
Eli Lilly 	2014 	19,615.60 	33.94 	4,733.60 	56.46 	4,959.20 	42.74
Eli Lilly 	2013 	23,113.10 	57.82 	5,531.30 	82.82 	4,908.10 	41.27
Eli Lilly 	2012 	22,603.40 	54.34 	5,278.10 	74.45 	4,796.50 	38.06
Eli Lilly 	2011 	24,286.50 	65.83 	5,020.80 	65.95 	5,067.90 	45.87
Eli Lilly 	2010 	23,076.00 	57.57 	4,884.20 	61.43	4,366.20 	25.67
Eli Lilly 	2009 	21,836.00 	49.10 	4,326.50 	43.00 	4,247.00 	22.24
Eli Lilly 	2008 	20,371.90 	39.10 	3,840.90 	26.95 	4,376.70 	25.98
Eli Lilly 	2007 	18,633.50 	27.23 	3,486.70 	15.24 	4,248.80 	22.30
Eli Lilly 	2006 	15,691.00 	7.14 	3,129.30 	3.43	3,546.50 	2.08
Eli Lilly 	2005 	14,645.30 	0.00 	3,025.50 	0.00 	3,474.20 	0.00
