Date	Humalog Insulin Cost per Vial ($)	Percentage Increase
1996/07/21 	$21.23 	0%
1998/06/12 	$23.35 	10%
2000/06/20 	$29.72 	40%
2002/08/05 	$45.99 	117%
2005/02/06 	$60.14 	183%
2006/08/22 	$71.46 	237%
2007/07/15 	$77.12 	263%
2008/07/23 	$87.03 	310%
2009/05/28 	$93.40 	340%
2010/02/05 	$101.18 	377%
2010/09/17 	$108.96 	413%
2011/03/24 	$118.16 	457%
2011/11/22 	$123.82 	483%
2012/04/11 	$133.02 	527%
2012/11/12 	$142.22 	570%
2013/03/14 	$154.25 	627%
2013/08/30 	$168.40 	693%
2014/02/25 	$186.08 	777%
2014/08/22 	$204.48 	863%
2015/02/17 	$223.58 	953%
2015/09/12 	$237.74 	1020%
2016/05/13 	$256.84 	1110%
2016/07/09 	$276.65 	1203%
