Year,Month,State,Health Plan Type,Avg Out-of-Pocket,Share above $25,Share above $50,Share above $100,Share above $200
2017,January,AL,non-cdhp,59,0.68,0.40,0.13,0.03
2017,February,AL,non-cdhp,52,0.65,0.38,0.11,0.02
2017,March,AL,non-cdhp,54,0.66,0.39,0.11,0.02
2017,April,AL,non-cdhp,47,0.62,0.29,0.11,0.02
2017,May,AL,non-cdhp,50,0.63,0.31,0.12,0.03
2017,June,AL,non-cdhp,50,0.65,0.30,0.08,0.02
2017,July,AL,non-cdhp,48,0.62,0.29,0.11,0.03
2017,August,AL,non-cdhp,45,0.62,0.30,0.09,0.01
2017,September,AL,non-cdhp,49,0.58,0.31,0.12,0.02
2017,October,AL,non-cdhp,41,0.53,0.27,0.09,0.02
2017,November,AL,non-cdhp,41,0.54,0.29,0.07,0.01
2017,December,AL,non-cdhp,46,0.54,0.30,0.12,0.02
2017,January,AL,All,84,0.67,0.41,0.18,0.07
2017,February,AL,All,79,0.66,0.41,0.16,0.06
2017,March,AL,All,68,0.65,0.41,0.14,0.05
2017,April,AL,All,56,0.62,0.33,0.14,0.04
2017,May,AL,All,59,0.63,0.34,0.15,0.05
2017,June,AL,All,55,0.64,0.33,0.11,0.03
2017,July,AL,All,53,0.62,0.32,0.13,0.04
2017,August,AL,All,56,0.61,0.32,0.12,0.03
2017,September,AL,All,52,0.56,0.32,0.13,0.03
2017,October,AL,All,52,0.54,0.31,0.12,0.04
2017,November,AL,All,48,0.54,0.32,0.10,0.02
2017,December,AL,All,50,0.53,0.31,0.13,0.04
2017,Annual,AL,All,301,0.61,0.34,0.13,0.04
2017,January,All States,non-cdhp,73,0.73,0.46,0.19,0.05
2017,February,All States,non-cdhp,68,0.71,0.43,0.15,0.04
2017,March,All States,non-cdhp,67,0.70,0.43,0.16,0.04
2017,April,All States,non-cdhp,57,0.68,0.35,0.12,0.03
2017,May,All States,non-cdhp,56,0.67,0.35,0.12,0.03
2017,June,All States,non-cdhp,54,0.65,0.34,0.11,0.03
2017,July,All States,non-cdhp,53,0.64,0.33,0.11,0.02
2017,August,All States,non-cdhp,51,0.62,0.32,0.11,0.02
2017,September,All States,non-cdhp,49,0.60,0.30,0.10,0.02
2017,October,All States,non-cdhp,48,0.59,0.30,0.10,0.02
2017,November,All States,non-cdhp,46,0.57,0.29,0.09,0.02
2017,December,All States,non-cdhp,45,0.56,0.28,0.09,0.02
2017,January,All States,cdhp,258,0.70,0.59,0.45,0.35
2017,February,All States,cdhp,230,0.69,0.57,0.43,0.33
2017,March,All States,cdhp,192,0.66,0.54,0.39,0.28
2017,April,All States,cdhp,137,0.61,0.45,0.30,0.20
2017,May,All States,cdhp,122,0.58,0.43,0.28,0.18
2017,June,All States,cdhp,101,0.54,0.40,0.25,0.14
2017,July,All States,cdhp,93,0.52,0.37,0.23,0.13
2017,August,All States,cdhp,82,0.49,0.35,0.21,0.11
2017,September,All States,cdhp,73,0.46,0.32,0.19,0.09
2017,October,All States,cdhp,69,0.44,0.30,0.17,0.09
2017,November,All States,cdhp,64,0.41,0.28,0.16,0.08
2017,December,All States,cdhp,59,0.38,0.26,0.15,0.07
2017,January,All States,All,105,0.72,0.48,0.23,0.10
2017,February,All States,All,98,0.71,0.45,0.21,0.10
2017,March,All States,All,90,0.70,0.45,0.20,0.08
2017,April,All States,All,72,0.67,0.37,0.15,0.06
2017,May,All States,All,69,0.65,0.36,0.15,0.06
2017,June,All States,All,63,0.63,0.35,0.14,0.05
2017,July,All States,All,61,0.62,0.34,0.13,0.05
2017,August,All States,All,57,0.59,0.32,0.13,0.04
2017,September,All States,All,54,0.57,0.31,0.12,0.03
2017,October,All States,All,53,0.56,0.30,0.12,0.03
2017,November,All States,All,50,0.54,0.29,0.11,0.03
2017,December,All States,All,48,0.52,0.28,0.11,0.03
2017,January,AR,non-cdhp,61,0.72,0.45,0.13,0.04
2017,February,AR,non-cdhp,54,0.68,0.42,0.09,0.02
2017,March,AR,non-cdhp,55,0.66,0.40,0.10,0.01
2017,April,AR,non-cdhp,43,0.58,0.24,0.06,0.01
2017,May,AR,non-cdhp,41,0.57,0.24,0.06,0.01
2017,June,AR,non-cdhp,42,0.58,0.22,0.07,0.02
2017,July,AR,non-cdhp,43,0.59,0.22,0.05,0.01
2017,August,AR,non-cdhp,40,0.54,0.22,0.06,0.01
2017,September,AR,non-cdhp,40,0.56,0.22,0.06,0.01
2017,October,AR,non-cdhp,39,0.54,0.24,0.07,0.01
2017,November,AR,non-cdhp,39,0.54,0.22,0.06,0.01
2017,December,AR,non-cdhp,37,0.51,0.20,0.06,0.00
2017,January,AR,All,89,0.71,0.47,0.17,0.08
2017,February,AR,All,78,0.70,0.45,0.14,0.07
2017,March,AR,All,81,0.66,0.43,0.17,0.07
2017,April,AR,All,60,0.59,0.29,0.11,0.05
2017,May,AR,All,62,0.58,0.28,0.11,0.05
2017,June,AR,All,50,0.58,0.26,0.10,0.03
2017,July,AR,All,55,0.59,0.26,0.10,0.03
2017,August,AR,All,52,0.56,0.25,0.10,0.04
2017,September,AR,All,45,0.55,0.24,0.09,0.02
2017,October,AR,All,45,0.54,0.26,0.09,0.02
2017,November,AR,All,43,0.51,0.22,0.08,0.02
2017,December,AR,All,38,0.48,0.21,0.08,0.01
2017,Annual,AR,All,333,0.59,0.30,0.11,0.04
2017,January,AZ,non-cdhp,66,0.72,0.43,0.16,0.05
2017,February,AZ,non-cdhp,62,0.70,0.41,0.14,0.03
2017,March,AZ,non-cdhp,62,0.69,0.41,0.14,0.03
2017,April,AZ,non-cdhp,53,0.65,0.28,0.10,0.03
2017,May,AZ,non-cdhp,54,0.65,0.29,0.10,0.03
2017,June,AZ,non-cdhp,52,0.64,0.29,0.09,0.02
2017,July,AZ,non-cdhp,51,0.63,0.29,0.09,0.03
2017,August,AZ,non-cdhp,48,0.63,0.27,0.09,0.02
2017,September,AZ,non-cdhp,47,0.59,0.26,0.09,0.03
2017,October,AZ,non-cdhp,47,0.58,0.26,0.08,0.02
2017,November,AZ,non-cdhp,46,0.58,0.24,0.08,0.02
2017,December,AZ,non-cdhp,44,0.57,0.26,0.08,0.02
2017,January,AZ,cdhp,249,0.62,0.49,0.40,0.33
2017,February,AZ,cdhp,219,0.63,0.55,0.42,0.34
2017,March,AZ,cdhp,171,0.62,0.52,0.38,0.28
2017,April,AZ,cdhp,147,0.58,0.43,0.31,0.23
2017,May,AZ,cdhp,120,0.55,0.42,0.29,0.18
2017,June,AZ,cdhp,101,0.55,0.39,0.24,0.13
2017,July,AZ,cdhp,87,0.51,0.36,0.23,0.13
2017,August,AZ,cdhp,80,0.49,0.34,0.20,0.11
2017,September,AZ,cdhp,64,0.45,0.29,0.14,0.09
2017,October,AZ,cdhp,76,0.41,0.28,0.19,0.10
2017,November,AZ,cdhp,59,0.41,0.25,0.15,0.08
2017,December,AZ,cdhp,49,0.35,0.23,0.14,0.06
2017,January,AZ,All,96,0.70,0.44,0.20,0.09
2017,February,AZ,All,89,0.69,0.43,0.19,0.08
2017,March,AZ,All,81,0.68,0.43,0.18,0.07
2017,April,AZ,All,69,0.64,0.31,0.13,0.06
2017,May,AZ,All,66,0.64,0.31,0.14,0.05
2017,June,AZ,All,60,0.63,0.31,0.12,0.04
2017,July,AZ,All,57,0.61,0.30,0.11,0.05
2017,August,AZ,All,54,0.60,0.28,0.11,0.04
2017,September,AZ,All,50,0.57,0.26,0.10,0.04
2017,October,AZ,All,52,0.55,0.26,0.10,0.03
2017,November,AZ,All,48,0.55,0.24,0.09,0.03
2017,December,AZ,All,45,0.52,0.25,0.09,0.03
2017,Annual,AZ,All,338,0.61,0.32,0.13,0.05
2017,January,CA,non-cdhp,68,0.71,0.37,0.16,0.06
2017,February,CA,non-cdhp,60,0.71,0.35,0.12,0.04
2017,March,CA,non-cdhp,59,0.71,0.36,0.11,0.03
2017,April,CA,non-cdhp,51,0.68,0.30,0.08,0.02
2017,May,CA,non-cdhp,49,0.67,0.31,0.08,0.01
2017,June,CA,non-cdhp,49,0.66,0.29,0.08,0.02
2017,July,CA,non-cdhp,47,0.64,0.28,0.07,0.02
2017,August,CA,non-cdhp,46,0.63,0.28,0.07,0.02
2017,September,CA,non-cdhp,44,0.61,0.27,0.07,0.01
