Country Total Human Analog R RI S SI I L
Australia $6.94 $5.08 $7.08 $5.92 $5.79 $5.39 $4.89 $5.17 $8.63
Austria $7.92 $6.63 $8.17 $7.17 $7.09 $6.96 $6.60 $6.58 $12.61
Belgium $8.30 $5.43 $8.92 $7.86 $7.29 $5.73 $5.70 $4.86 $11.26
Canada $12.00 $7.11 $12.99 $9.88 $8.96 $7.10 $7.32 $7.02 $15.77
Chile $21.48 $17.77 $21.99 $15.01 $14.94 $16.57 $25.47 $17.92 $26.19
CzechRep. $8.18 $4.69 $9.11 $7.48 $6.94 $4.69 $4.70 $4.72 $11.68
Estonia $9.61 $5.57 $9.63 $8.21 $8.12 $5.41 NA $5.58 $10.90
Finland $8.94 $5.84 $9.01 $7.23 $7.25 $4.98 NA $5.95 $9.92
France $9.08 $9.16 $9.02 $7.95 $6.92 $19.19 $7.08 $7.62 $10.36
Germany $11.00 $7.13 $12.60 $12.02 $10.57 $7.06 $7.20 $7.23 $13.46
Greece $8.65 $4.53 $8.95 $6.84 $7.00 $4.25 $4.59 $4.71 $10.61
Hungary $6.14 $3.92 $8.16 $5.48 $6.08 $3.91 $3.95 $3.91 $11.73
Ireland $9.85 $7.51 $9.99 $8.84 $7.89 $10.67 $6.61 $6.47 $11.76
Italy $10.03 $6.88 $10.07 $7.69 $7.25 $6.34 $10.36 $10.18 $13.47
Japan $14.40 $14.30 $14.41 $13.49 $13.01 $15.54 $13.34 $13.80 $15.90
Korea $10.30 $7.66 $10.50 $9.35 $8.81 $9.80 $6.50 $7.44 $11.69
Latvia $8.39 $6.20 $8.76 $7.96 $7.33 $4.07 NA $6.28 $10.75
Lithuania $7.89 $4.40 $7.90 $6.44 $7.40 $4.11 NA $4.78 $9.79
Luxembourg $10.15 $4.93 $10.40 $7.69 $7.28 $4.67 $5.59 $5.02 $13.29
Mexico $16.48 $9.45 $18.91 $14.30 $15.92 $12.21 $16.87 $8.57 $20.54
Netherlands $9.98 $5.86 $10.24 $8.25 $7.68 $6.37 $5.70 $5.81 $13.37
NewZealand $8.89 $5.08 $9.86 $7.52 $6.67 $8.00 $6.01 $4.24 $13.18
Norway $7.79 $5.55 $8.87 $7.75 $7.05 $5.42 NA $5.55 $11.29
Poland $5.28 $4.27 $6.30 $5.53 $5.98 $4.22 $4.31 $4.24 $9.47
Portugal $8.03 $5.25 $8.71 $6.98 $6.93 $5.88 $5.02 $5.26 $10.23
Slovakia $6.91 $4.28 $8.09 $6.86 $7.06 $4.30 $4.15 $4.35 $9.92
Slovenia $7.43 $5.82 $7.68 $6.74 $6.85 $6.49 $5.84 $5.73 $11.04
Spain $9.04 $6.04 $9.32 $7.37 $7.39 $6.85 $5.78 $5.81 $10.71
Sweden $7.71 $4.68 $8.49 $6.65 $6.77 $6.28 $5.66 $4.59 $11.82
Switzerland $12.36 $6.86 $12.60 $9.60 $9.34 $8.47 $6.94 $6.60 $15.18
Turkey $2.64 $1.97 $2.66 $2.39 $2.63 $2.14 $1.74 $1.83 $2.95
UK $7.52 $5.13 $8.09 $7.22 $7.00 $6.24 $5.05 $5.14 $9.79
Non-U.S.OECD $8.81 $6.09 $9.32 $8.19 $6.66 $6.46 $5.81 $5.98 $11.32
U.S. $98.70 $85.21 $99.94 $119.36 $107.31 $87.20 $95.05 $73.56 $88.10
